time,AM_rpm_act,Ana_hava_debi_act,Ana_hava_sic_act,Bit_control,Deng_hava_bas_act,Deng_hava_debi_act,Deng_hava_sic_act,Frn_grup_sic_act,Hid_emn_bas_act,Kalip_no,Kavr_hava_debi_act,Kavr_hava_sic_act,Koc_ton_act,Reg_poz_act,Rob_ctr_sic_act,Robot_hava_debi_act,Robot_hava_sic_act,Yaglama_bas_act,Yaglama_sic_act,Yedek1,Yedek2
2023-01-02 20:15:08.377205+00:00,0.0,12.36,18.1,0.0,2.9622397,0.0,20.1,19.5,148.0,,3.86,17.9,0.0,807.83386,22.4,3.6899998,17.2,1.0,18.4,10.0,20.0
2023-01-02 20:15:08.377261+00:00,0.0,12.36,18.1,0.0,2.9622397,0.0,20.1,19.5,148.0,,3.86,17.9,0.0,807.83386,22.4,3.6899998,17.2,1.0,18.4,10.0,20.0
2023-01-02 20:15:08.377372+00:00,0.0,12.84,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.86,17.9,0.0,807.83386,22.4,3.6899998,17.2,1.0,18.4,10.0,20.0
2023-01-02 20:15:08.377464+00:00,0.0,12.84,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.86,17.9,0.0,807.83386,22.4,3.6899998,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:08.377572+00:00,0.0,12.84,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.86,17.9,0.0,807.83386,22.4,5.42,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:08.377716+00:00,0.0,12.84,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.6,17.9,0.0,807.83386,22.4,5.42,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.363770+00:00,0.0,12.9,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.6,17.9,0.0,807.83386,22.4,5.42,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.363773+00:00,0.0,12.9,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.6,17.9,0.0,807.83386,22.4,5.42,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.363883+00:00,0.0,12.9,18.1,0.0,2.9593463,0.0,20.1,19.5,148.0,,3.6,17.9,0.0,807.83386,22.4,15.73,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.363902+00:00,0.0,12.9,18.1,0.0,2.9593463,0.0,20.1,19.5,149.0,,3.6,17.9,0.0,807.83386,22.4,15.73,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.363917+00:00,0.0,12.88,18.1,0.0,2.958261,0.0,20.1,19.5,149.0,,3.4299998,17.9,0.0,807.83386,22.4,15.73,16.6,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364045+00:00,0.0,12.88,18.1,0.0,2.958261,0.0,20.1,19.5,149.0,,3.4299998,17.9,0.0,807.83386,22.4,15.73,16.6,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364191+00:00,0.0,12.88,18.1,0.0,2.958261,0.0,20.1,19.5,149.0,,3.4299998,17.9,0.0,807.83386,22.4,15.73,16.6,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364240+00:00,0.0,12.69,18.1,0.0,2.958261,0.0,20.1,19.5,149.0,,3.4299998,17.9,0.0,807.83386,22.4,15.73,16.6,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364258+00:00,0.0,12.69,18.1,0.0,2.958261,0.0,20.1,19.5,149.0,,3.4299998,17.9,0.0,807.83386,22.4,31.25,16.300001,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364310+00:00,0.0,12.69,18.1,0.0,2.958261,0.0,20.1,19.5,148.0,,3.4299998,17.9,0.0,807.83386,22.4,31.25,16.300001,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364470+00:00,0.0,12.69,18.0,0.0,2.958261,0.0,20.1,19.5,148.0,,3.1399999,17.9,0.0,807.83386,22.4,31.25,16.5,1.0,18.4,10.0,20.0
2023-01-02 20:15:18.364520+00:00,0.0,12.54,18.0,0.0,2.958261,0.0,20.1,19.5,148.0,,3.1399999,17.9,0.0,807.83386,22.4,31.25,16.5,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.366899+00:00,0.0,12.54,18.0,0.0,2.958261,0.0,20.1,19.5,148.0,,3.1399999,17.9,0.0,807.83386,22.4,38.559998,16.5,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.366955+00:00,0.0,12.54,18.0,0.0,2.958261,0.0,20.1,19.5,148.0,,3.1399999,17.9,0.0,807.83386,22.4,38.559998,16.5,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.367567+00:00,0.0,12.54,18.1,0.0,2.958261,0.0,20.1,19.5,148.0,,2.95,17.9,0.0,807.83386,22.4,38.559998,16.5,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.367658+00:00,0.0,12.16,18.1,0.0,2.9586225,0.0,20.1,19.5,148.0,,2.95,17.9,0.0,807.83386,22.4,38.559998,16.800001,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370167+00:00,0.0,12.16,18.1,0.0,2.9586225,0.0,20.1,19.5,148.0,,2.95,17.9,0.0,807.83386,22.4,38.559998,16.800001,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370229+00:00,0.0,12.16,18.1,0.0,2.9586225,0.0,20.1,19.5,148.0,,2.95,17.9,0.0,807.83386,22.4,18.18,16.800001,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370341+00:00,0.0,12.16,18.0,0.0,2.9586225,0.0,20.2,19.5,148.0,,2.95,17.9,0.0,807.83386,22.4,18.18,16.800001,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370388+00:00,0.0,11.4,18.0,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.57,17.9,0.0,807.83386,22.4,18.18,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370435+00:00,0.0,11.4,18.0,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.57,17.9,0.0,807.83386,22.4,18.18,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370518+00:00,0.0,11.4,18.0,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.57,17.9,0.0,807.83386,22.4,5.44,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370786+00:00,0.0,11.4,18.1,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.57,17.9,0.0,807.83386,22.4,5.44,16.9,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370838+00:00,0.0,10.88,18.1,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.4299998,17.9,0.0,807.83386,22.4,5.44,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370893+00:00,0.0,10.88,18.1,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.4299998,17.9,0.0,807.83386,22.4,5.44,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.370944+00:00,0.0,10.88,18.1,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.4299998,17.9,0.0,807.83386,22.4,5.44,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.371036+00:00,0.0,10.88,18.0,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.4299998,17.9,0.0,807.83386,22.4,3.99,17.0,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.371145+00:00,0.0,11.46,18.1,0.0,2.9578993,0.0,20.2,19.5,148.0,,2.4299998,17.9,0.0,807.83386,22.4,3.99,17.1,1.0,18.4,10.0,20.0
2023-01-02 20:15:28.371195+00:00,0.0,11.46,18.1,0.0,2.9578993,0.0,20.2,19.5,148.0,,3.1299999,17.9,0.0,807.83386,22.4,3.99,17.1,1.0,18.4,10.0,20.0
