,time,Press030.AM_rpm_act,Press030.AM_rpm_act_1,Press030.Ana_hava_debi_act,Press030.Ana_hava_debi_act_1,Press030.Ana_hava_sic_act,Press030.Ana_hava_sic_act_1,Press030.Bit_control,Press030.Bit_control_1,Press030.Deng_hava_bas_act,Press030.Deng_hava_bas_act_1,Press030.Deng_hava_debi_act,Press030.Deng_hava_debi_act_1,Press030.Deng_hava_sic_act,Press030.Deng_hava_sic_act_1,Press030.Frn_grup_sic_act,Press030.Frn_grup_sic_act_1,Press030.Hid_emn_bas_act,Press030.Hid_emn_bas_act_1,Press030.Kalip_No,Press030.Kalip_No_1,Press030.Kavr_hava_debi_act,Press030.Kavr_hava_debi_act_1,Press030.Kavr_hava_sic_act,Press030.Kavr_hava_sic_act_1,Press030.Koc_Ton_act,Press030.Koc_Ton_act_1,Press030.Reg_poz_act,Press030.Reg_poz_act_1,Press030.Rob_ctr_sic_act,Press030.Rob_ctr_sic_act_1,Press030.Robot_hava_debi_act,Press030.Robot_hava_debi_act_1,Press030.Robot_hava_sic_act,Press030.Robot_hava_sic_act_1,Press030.Yaglama_bas_act,Press030.Yaglama_bas_act_1,Press030.Yaglama_sic_act,Press030.Yaglama_sic_act_1,Press030.Yedek1,Press030.Yedek1_1,Press030.Yedek2,Press030.Yedek2_1,RUL,label1,time_norm,id
0,1,1.0,1.0,0.7877080289460863,0.7877080289460863,0.6958533775595575,0.6958533775595575,0.994472008299506,0.994472008299506,0.8802935421573479,0.8802935421573479,0.6867932099462238,0.6867932099462238,0.9186298642095347,0.9186298642095347,0.8571428571428168,0.8571428571428168,0.9748197227340205,0.9748197227340205,1.0,1.0,0.8190889604407925,0.8190889604407925,0.43068041426433723,0.43068041426433723,0.0,0.0,0.0,0.0,0.8785663709854221,0.8785663709854221,0.5878740867269407,0.5878740867269407,0.47518274792172477,0.47518274792172477,0.9552739253143967,0.9552739253143967,0.923076923077371,0.923076923077371,1.0,1.0,1.0,1.0,480,0,0.0,1
1,2,1.0,1.0,0.8253170239588519,0.8253170239588519,0.7102935027512682,0.7102935027512682,0.9936154794088923,0.9936154794088923,0.870817950039998,0.870817950039998,0.7976640697481742,0.7976640697481742,0.9191332385620119,0.9191332385620119,0.8571428571427129,0.8571428571427129,0.9725716663546229,0.9725716663546229,1.0,1.0,0.8448709607110959,0.8448709607110959,0.43414008247272395,0.43414008247272395,0.0,0.0,1.199040866595169e-13,1.199040866595169e-13,0.8785663709855385,0.8785663709855385,0.6954620373448976,0.6954620373448976,0.44249523579273475,0.44249523579273475,0.9518205042125389,0.9518205042125389,0.9230769230775486,0.9230769230775486,1.0,1.0,1.0,1.0,479,0,0.0020833333333333333,1
2,3,1.0,1.0,0.815206106845549,0.815206106845549,0.7162033779501735,0.7162033779501735,0.9928976836172585,0.9928976836172585,0.8723602511623603,0.8723602511623603,0.718884319381887,0.718884319381887,0.9283066821879209,0.9283066821879209,0.857142857142712,0.857142857142712,0.9735168288644511,0.9735168288644511,1.0,1.0,0.8313257857818174,0.8313257857818174,0.43485786808606086,0.43485786808606086,0.0,0.0,1.199040866595169e-13,1.199040866595169e-13,0.8673070809793586,0.8673070809793586,0.6139320796235528,0.6139320796235528,0.44978111469671145,0.44978111469671145,0.9522438270129632,0.9522438270129632,0.9230769230775415,0.9230769230775415,1.0,1.0,1.0,1.0,478,0,0.0041666666666666675,1
3,4,1.0,1.0,0.8322708043663847,0.8322708043663847,0.7074672583470134,0.7074672583470134,0.993857511366496,0.993857511366496,0.8784132276724654,0.8784132276724654,0.7763599727282462,0.7763599727282462,0.9332649432215399,0.9332649432215399,0.8616232594121138,0.8616232594121138,0.973585359170221,0.973585359170221,1.0,1.0,0.8319008809507992,0.8319008809507992,0.4429219413766381,0.4429219413766381,0.0,0.0,1.2256862191861728e-13,1.2256862191861728e-13,0.8503697279148117,0.8503697279148117,0.46144364392979126,0.46144364392979126,0.4805094930396079,0.4805094930396079,0.9535920050624727,0.9535920050624727,0.9230769230775167,0.9230769230775167,1.0,1.0,1.0,1.0,477,0,0.00625,1
4,5,1.0,1.0,0.8458355901752082,0.8458355901752082,0.6916663826103564,0.6916663826103564,0.9919097124968022,0.9919097124968022,0.8737138973839778,0.8737138973839778,0.7532485380715045,0.7532485380715045,0.966626566735179,0.966626566735179,0.8690476190475884,0.8690476190475884,0.9748067308166619,0.9748067308166619,1.0,1.0,0.8468271658313887,0.8468271658313887,0.4457286751403977,0.4457286751403977,0.0,0.0,1.1901590823981678e-13,1.1901590823981678e-13,0.8476844057310133,0.8476844057310133,0.6014669091716056,0.6014669091716056,0.4620916618168893,0.4620916618168893,0.9514790018348505,0.9514790018348505,0.9230769230775557,0.9230769230775557,1.0,1.0,1.0,1.0,476,0,0.008333333333333333,1
5,6,1.0,1.0,0.8495202764026282,0.8495202764026282,0.6772692610485569,0.6772692610485569,0.9910658062357598,0.9910658062357598,0.8597109347540131,0.8597109347540131,0.7402088681538799,0.7402088681538799,0.9378516173126754,0.9378516173126754,0.8738352870453339,0.8738352870453339,0.9727124575515598,0.9727124575515598,1.0,1.0,0.8689485567073574,0.8689485567073574,0.4453342318615805,0.4453342318615805,0.0,0.0,1.2256862191861728e-13,1.2256862191861728e-13,0.8463229799059242,0.8463229799059242,0.61342447266077,0.61342447266077,0.46930895203135403,0.46930895203135403,0.9508858044589408,0.9508858044589408,0.9230769230775131,0.9230769230775131,1.0,1.0,1.0,1.0,475,0,0.010416666666666668,1
6,7,1.0,1.0,0.8946678469553624,0.8946678469553624,0.6689116880692669,0.6689116880692669,0.9944849721723501,0.9944849721723501,0.8749814464607302,0.8749814464607302,0.8330477362511108,0.8330477362511108,0.917044555162231,0.917044555162231,0.8809523809523938,0.8809523809523938,0.9724452028491757,0.9724452028491757,1.0,1.0,0.9020417043267355,0.9020417043267355,0.4440827280551405,0.4440827280551405,0.0,0.0,1.234568003383174e-13,1.234568003383174e-13,0.8500740038880785,0.8500740038880785,0.5636150010414092,0.5636150010414092,0.47140635556080124,0.47140635556080124,0.9515338830873956,0.9515338830873956,0.9230769230775095,0.9230769230775095,1.0,1.0,1.0,1.0,474,0,0.0125,1
7,8,1.0,1.0,0.762235171238191,0.762235171238191,0.6999839947040503,0.6999839947040503,0.9652567396401022,0.9652567396401022,0.8184172508814025,0.8184172508814025,0.6550853209945825,0.6550853209945825,0.9483344933054876,0.9483344933054876,0.8905798039976611,0.8905798039976611,0.9737254843338459,0.9737254843338459,1.0,1.0,0.7574742854059224,0.7574742854059224,0.46871484998408164,0.46871484998408164,0.0,0.0,1.2168044349891716e-13,1.2168044349891716e-13,0.8500740038880812,0.8500740038880812,0.6048262531336026,0.6048262531336026,0.4736698335452436,0.4736698335452436,0.9523737368442431,0.9523737368442431,0.9281679336082682,0.9281679336082682,1.0,1.0,1.0,1.0,473,0,0.014583333333333334,1
8,9,1.0,1.0,0.854417052985456,0.854417052985456,0.6990727752660044,0.6990727752660044,0.9889811808658355,0.9889811808658355,0.8707400910255472,0.8707400910255472,0.726580022962802,0.726580022962802,0.93877663404063,0.93877663404063,0.8920997610512842,0.8920997610512842,0.9767921134485495,0.9767921134485495,1.0,1.0,0.8703935984371839,0.8703935984371839,0.4513088991670333,0.4513088991670333,0.0,0.0,1.2434497875801753e-13,1.2434497875801753e-13,0.8500740038880767,0.8500740038880767,0.3349273437229499,0.3349273437229499,0.5189376000759367,0.5189376000759367,0.898887829570131,0.898887829570131,0.9994485800937021,0.9994485800937021,1.0,1.0,1.0,1.0,472,0,0.016666666666666666,1
9,10,1.0,1.0,0.5624568295561203,0.5624568295561203,0.761784855627333,0.761784855627333,0.9072846253572604,0.9072846253572604,0.7024197327527273,0.7024197327527273,0.4424066371651609,0.4424066371651609,0.9999999999999996,0.9999999999999996,0.8909685086155044,0.8909685086155044,0.9761197258912122,0.9761197258912122,1.0,1.0,0.5273515455060215,0.5273515455060215,0.5430629126090469,0.5430629126090469,0.0,0.0,1.2523315717771766e-13,1.2523315717771766e-13,0.8381133043310989,0.8381133043310989,0.1960223499198332,0.1960223499198332,0.5942543713299555,0.5942543713299555,0.9522369659819825,0.9522369659819825,0.9999999999999716,0.9999999999999716,1.0,1.0,1.0,1.0,471,0,0.01875,1
