,time,Press030.Ana_hava_debi_act_1
0,2022-05-30 10:30:01+00:00,26.32
1,2022-05-30 10:30:02+00:00,-666.0
2,2022-05-30 10:30:03+00:00,24.91
3,2022-05-30 10:30:04+00:00,24.91
4,2022-05-30 10:30:05+00:00,-666.0
5,2022-05-30 10:30:06+00:00,23.18
6,2022-05-30 10:30:07+00:00,-666.0
7,2022-05-30 10:30:08+00:00,23.18
8,2022-05-30 10:30:09+00:00,20.36
9,2022-05-30 10:30:10+00:00,-666.0
10,2022-05-30 10:30:11+00:00,20.36
11,2022-05-30 10:30:12+00:00,-666.0
12,2022-05-30 10:30:13+00:00,20.36
13,2022-05-30 10:30:14+00:00,16.79
14,2022-05-30 10:30:15+00:00,16.79
15,2022-05-30 10:30:16+00:00,-666.0
16,2022-05-30 10:30:17+00:00,16.79
17,2022-05-30 10:30:18+00:00,13.19
18,2022-05-30 10:30:19+00:00,-666.0
19,2022-05-30 10:30:20+00:00,12.23
20,2022-05-30 10:30:21+00:00,12.23
21,2022-05-30 10:30:22+00:00,-666.0
22,2022-05-30 10:30:23+00:00,12.23
23,2022-05-30 10:30:24+00:00,-666.0
24,2022-05-30 10:30:25+00:00,10.26
25,2022-05-30 10:30:26+00:00,10.26
26,2022-05-30 10:30:27+00:00,-666.0
27,2022-05-30 10:30:28+00:00,10.26
28,2022-05-30 10:30:29+00:00,9.15
29,2022-05-30 10:30:30+00:00,-666.0
30,2022-05-30 10:30:31+00:00,9.15
31,2022-05-30 10:30:32+00:00,8.51
32,2022-05-30 10:30:33+00:00,-666.0
33,2022-05-30 10:30:34+00:00,8.51
34,2022-05-30 10:30:35+00:00,8.21
35,2022-05-30 10:30:36+00:00,8.21
36,2022-05-30 10:30:37+00:00,-666.0
37,2022-05-30 10:30:38+00:00,8.21
38,2022-05-30 10:30:39+00:00,-666.0
39,2022-05-30 10:30:40+00:00,7.85
40,2022-05-30 10:30:41+00:00,7.85
41,2022-05-30 10:30:42+00:00,-666.0
42,2022-05-30 10:30:43+00:00,7.77
43,2022-05-30 10:30:44+00:00,7.77
44,2022-05-30 10:30:45+00:00,-666.0
45,2022-05-30 10:30:46+00:00,7.77
46,2022-05-30 10:30:47+00:00,7.71
47,2022-05-30 10:30:48+00:00,-666.0
48,2022-05-30 10:30:49+00:00,7.71
49,2022-05-30 10:30:50+00:00,7.7
50,2022-05-30 10:30:51+00:00,-666.0
51,2022-05-30 10:30:52+00:00,7.69
52,2022-05-30 10:30:53+00:00,-666.0
53,2022-05-30 10:30:54+00:00,7.69
54,2022-05-30 10:30:55+00:00,7.69
55,2022-05-30 10:30:56+00:00,-666.0
56,2022-05-30 10:30:57+00:00,7.7
57,2022-05-30 10:30:58+00:00,7.7
58,2022-05-30 10:30:59+00:00,-666.0
59,2022-05-30 10:31:00+00:00,7.7
60,2022-05-30 10:31:01+00:00,7.7
61,2022-05-30 10:31:02+00:00,-666.0
62,2022-05-30 10:31:03+00:00,7.69
63,2022-05-30 10:31:04+00:00,-666.0
64,2022-05-30 10:31:05+00:00,7.69
65,2022-05-30 10:31:06+00:00,7.68
66,2022-05-30 10:31:07+00:00,-666.0
67,2022-05-30 10:31:08+00:00,7.68
68,2022-05-30 10:31:09+00:00,7.68
69,2022-05-30 10:31:10+00:00,-666.0
70,2022-05-30 10:31:11+00:00,7.64
71,2022-05-30 10:31:12+00:00,7.64
72,2022-05-30 10:31:13+00:00,-666.0
73,2022-05-30 10:31:14+00:00,7.63
74,2022-05-30 10:31:15+00:00,7.63
75,2022-05-30 10:31:16+00:00,-666.0
76,2022-05-30 10:31:17+00:00,7.63
77,2022-05-30 10:31:18+00:00,7.64
78,2022-05-30 10:31:19+00:00,-666.0
79,2022-05-30 10:31:20+00:00,7.64
80,2022-05-30 10:31:21+00:00,-666.0
81,2022-05-30 10:31:22+00:00,7.64
82,2022-05-30 10:31:23+00:00,7.6
83,2022-05-30 10:31:24+00:00,-666.0
84,2022-05-30 10:31:25+00:00,7.59
85,2022-05-30 10:31:26+00:00,7.59
86,2022-05-30 10:31:27+00:00,-666.0
87,2022-05-30 10:31:28+00:00,7.59
88,2022-05-30 10:31:29+00:00,7.53
89,2022-05-30 10:31:30+00:00,-666.0
90,2022-05-30 10:31:31+00:00,7.53
91,2022-05-30 10:31:32+00:00,7.77
92,2022-05-30 10:31:33+00:00,-666.0
93,2022-05-30 10:31:34+00:00,7.77
94,2022-05-30 10:31:35+00:00,7.77
95,2022-05-30 10:31:36+00:00,-666.0
96,2022-05-30 10:31:37+00:00,10.54
97,2022-05-30 10:31:38+00:00,-666.0
98,2022-05-30 10:31:39+00:00,10.54
99,2022-05-30 10:31:40+00:00,14.03
100,2022-05-30 10:31:41+00:00,-666.0
101,2022-05-30 10:31:42+00:00,14.03
102,2022-05-30 10:31:43+00:00,14.03
103,2022-05-30 10:31:44+00:00,-666.0
104,2022-05-30 10:31:45+00:00,18.19
105,2022-05-30 10:31:46+00:00,18.19
106,2022-05-30 10:31:47+00:00,-666.0
107,2022-05-30 10:31:48+00:00,18.19
108,2022-05-30 10:31:49+00:00,21.66
109,2022-05-30 10:31:50+00:00,-666.0
110,2022-05-30 10:31:51+00:00,21.66
111,2022-05-30 10:31:52+00:00,21.66
112,2022-05-30 10:31:53+00:00,-666.0
113,2022-05-30 10:31:54+00:00,23.17
114,2022-05-30 10:31:55+00:00,23.17
115,2022-05-30 10:31:56+00:00,-666.0
116,2022-05-30 10:31:57+00:00,23.17
117,2022-05-30 10:31:58+00:00,23.82
118,2022-05-30 10:31:59+00:00,-666.0
119,2022-05-30 10:32:00+00:00,23.82
120,2022-05-30 10:32:01+00:00,23.86
121,2022-05-30 10:32:02+00:00,-666.0
122,2022-05-30 10:32:03+00:00,23.86
123,2022-05-30 10:32:04+00:00,23.11
124,2022-05-30 10:32:05+00:00,-666.0
125,2022-05-30 10:32:06+00:00,22.56
126,2022-05-30 10:32:07+00:00,-666.0
127,2022-05-30 10:32:08+00:00,22.56
128,2022-05-30 10:32:09+00:00,22.56
129,2022-05-30 10:32:10+00:00,-666.0
130,2022-05-30 10:32:11+00:00,19.69
131,2022-05-30 10:32:12+00:00,19.69
132,2022-05-30 10:32:13+00:00,-666.0
133,2022-05-30 10:32:14+00:00,18.04
134,2022-05-30 10:32:15+00:00,-666.0
135,2022-05-30 10:32:16+00:00,18.04
136,2022-05-30 10:32:17+00:00,15.61
