#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T12:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T13:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T13:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T14:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T14:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T15:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T15:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T16:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T16:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T17:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T17:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T18:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T18:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T19:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T19:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T20:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T20:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T21:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T21:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T22:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T22:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T23:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-02T23:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T00:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T00:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T01:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T01:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T02:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T02:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T03:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T03:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T04:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T04:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T05:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T05:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T06:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T06:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T07:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T07:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T08:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T08:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T09:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T09:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T10:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T10:30:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T11:00:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T11:30:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T12:00:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T12:30:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T13:00:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T13:30:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T14:00:00Z,,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T14:30:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T15:00:00Z,1480,AM_rpm_act,Press031,vmi474601
,,0,2022-08-02T12:23:23.342561228Z,2022-08-12T12:23:23.342561228Z,2022-08-03T15:30:00Z,1480,AM_rpm_act,Press031,vmi474601
